SH2-1	15.98089	-26.12052	HII		
SH2-2	17.06851	-38.14249	HII		
SH2-3	17.22918	-38.50311	HII		
SH2-4	17.33022	-39.33875	HII		
SH2-5	17.33430	-38.45477	HII		
SH2-6	17.25114	-37.11655	HII		
SH2-7	16.00549	-22.95064	HII		
SH2-8	17.35690	-36.03469	HII		
SH2-9	16.35303	-25.58944	HII		
SH2-10	17.31667	-34.09032	HII		
SH2-11	17.44193	-34.20569	HII		
SH2-12	17.59894	-32.59960	HII		
SH2-13	17.50793	-31.56268	HII		
SH2-14	17.50513	-30.26300	HII		
SH2-15	17.84289	-31.26409	HII		
SH2-16	17.79784	-29.30385	HII		
SH2-17	17.76911	-28.85800	HII		
SH2-18	17.81280	-29.25167	HII		
SH2-19	17.82269	-29.11689	HII		
SH2-20	17.82064	-28.66717	HII		
SH2-21	17.86085	-28.89466	HII		
SH2-22	17.91772	-25.03615	HII		
SH2-23	16.22351	-8.37228	HII		
SH2-24	16.18439	-7.07728	HII		
SH2-25	18.09057	-24.39425	HII		
SH2-26	17.98306	-23.32653	HII		
SH2-27	16.62011	-10.56973	HII		
SH2-28	18.04493	-23.58419	HII		
SH2-29	18.17525	-23.99855	HII		
SH2-30	18.05950	-23.01536	HII		
SH2-31	18.18843	-23.79662	HII		
SH2-32	18.18165	-23.64759	HII		
SH2-33	15.99788	-1.61745	HII		
SH2-34	18.10681	-21.65839	HII		
SH2-35	18.26408	-20.25207	HII		
SH2-36	16.09176	0.39448	HII		
SH2-37	18.29531	-19.66416	HII		
SH2-38	18.14598	-18.26917	HII		
SH2-39	18.27958	-18.64973	HII		
SH2-40	18.20061	-17.74451	HII		
SH2-41	18.26428	-18.23526	HII		
SH2-42	18.17161	-16.81536	HII		
SH2-43	18.27369	-17.40052	HII		
SH2-44	18.27488	-16.73364	HII		
SH2-45	18.34614	-16.17325	HII		
SH2-46	18.10310	-14.15854	HII		
SH2-47	18.29576	-15.61388	HII		
SH2-48	18.37337	-14.58588	HII		
SH2-49	18.31128	-13.96154	HII		
SH2-50	18.42511	-14.71171	HII		
SH2-51	18.67965	-16.55835	HII		
SH2-52	19.79635	-23.08748	HII		
SH2-53	18.42077	-13.22893	HII		
SH2-54	18.29810	-11.73001	HII		
SH2-55	18.53642	-11.76210	HII		
SH2-56	18.51839	-9.71461	HII		
SH2-57	18.50933	-8.61587	HII		
SH2-58	18.52423	-8.46371	HII		
SH2-59	18.61699	-7.60027	HII		
SH2-60	18.61140	-6.70103	HII		
SH2-61	18.54864	-5.01002	HII		
SH2-62	18.45957	-3.85619	HII		
SH2-63	19.96200	-14.11566	HII		
SH2-64	18.52665	-1.91305	HII		
SH2-65	18.78281	-3.74294	HII		
SH2-66	18.75837	-1.99636	HII		
SH2-67	18.82359	-2.35371	HII		
SH2-68	18.41986	0.85494	HII		
SH2-69	18.74061	-0.28216	HII		
SH2-70	18.24414	7.06303	HII		
SH2-71	19.03409	2.15968	HII		
SH2-72	19.06399	2.31390	HII		
SH2-73	16.18545	21.87400	HII		
SH2-74	19.14695	5.60900	HII		
SH2-75	18.98761	7.12001	HII		
SH2-76	18.94048	7.81337	HII		
SH2-77	19.80480	1.14792	HII		
SH2-78	19.05309	14.12956	HII		
SH2-79	19.38846	13.97609	HII		
SH2-80	19.19137	16.86570	HII		
SH2-81	20.02041	11.79270	HII		
SH2-82	19.50577	18.27555	HII		
SH2-83	19.40893	20.79586	HII		
SH2-84	19.81778	18.40028	HII		
SH2-85	19.05479	25.83038	HII		
SH2-86	19.71936	23.28761	HII		
SH2-87	19.77353	24.62811	HII		
SH2-88	19.76634	25.34387	HII		
SH2-89	19.83400	26.48608	HII		
SH2-90	19.82036	26.86766	HII		
SH2-91	19.59279	29.60445	HII		
SH2-92	19.77759	28.24548	HII		
SH2-93	19.91701	27.21348	HII		
SH2-94	19.46433	31.47060	HII		
SH2-95	19.91715	29.29693	HII		
SH2-96	19.47835	32.68923	HII		
SH2-97	19.93480	30.26591	HII		
SH2-98	19.97903	31.42160	HII		
SH2-99	20.01418	33.49283	HII		
SH2-100	20.03088	33.51160	HII		
SH2-101	19.99931	35.29104	HII		
SH2-102	20.52974	30.60515	HII		
SH2-103	20.84235	30.92345	HII		
SH2-104	20.29587	36.74446	HII		
SH2-105	20.20077	38.34965	HII		
SH2-106	20.45769	37.39706	HII		
SH2-107	20.71301	36.34282	HII		
SH2-108	20.37652	40.25430	HII		
SH2-109	20.56068	40.34248	HII		
SH2-110	21.34691	32.45786	HII		
SH2-111	21.69814	30.10570	HII		
SH2-112	20.56399	45.65981	HII		
SH2-113	21.34672	38.09134	HII		
SH2-114	21.35300	38.70862	HII		
SH2-115	20.57611	46.87793	HII		
SH2-116	20.53868	47.35701	HII		
SH2-117	20.97960	44.32186	HII		
SH2-118	21.61698	40.21572	HII		
SH2-119	21.30716	43.93780	HII		
SH2-120	21.06309	49.88073	HII		
SH2-121	21.08686	49.64979	HII		
SH2-122	23.14647	14.92496	HII		
SH2-123	21.70633	44.54006	HII		
SH2-124	21.63937	50.35130	HII		
SH2-125	21.89255	47.27172	HII		
SH2-126	22.55764	38.58223	HII		
SH2-127	21.47831	54.62075	HII		
SH2-128	21.53578	55.85926	HII		
SH2-129	21.19581	59.96130	HII		
SH2-130	20.71657	63.22847	HII		
SH2-131	21.65009	57.48586	HII		
SH2-132	22.31324	56.13479	HII		
SH2-133	21.48332	64.30521	HII		
SH2-134	22.19163	59.41033	HII		
SH2-135	22.36990	58.73837	HII		
SH2-136	21.27491	68.25316	HII		
SH2-137	21.95199	64.69364	HII		
SH2-138	22.54431	58.48180	HII		
SH2-139	22.58344	58.21725	HII		
SH2-140	22.31884	63.28538	HII		
SH2-141	22.47513	61.64467	HII		
SH2-142	22.79326	58.06104	HII		
SH2-143	22.83748	57.71304	HII		
SH2-144	22.74782	59.89227	HII		
SH2-145	22.42601	64.30859	HII		
SH2-146	22.82398	59.92914	HII		
SH2-147	22.92492	58.46681	HII		
SH2-148	22.93673	58.51730	HII		
SH2-149	22.94010	58.53410	HII		
SH2-150	22.51998	65.11399	HII		
SH2-151	23.05093	57.07173	HII		
SH2-152	22.97716	58.78560	HII		
SH2-153	22.98735	58.73600	HII		
SH2-154	22.85684	61.18062	HII		
SH2-155	22.94550	62.61772	HII		
SH2-156	23.08626	60.25638	HII		
SH2-157	23.26766	60.04555	HII		
SH2-158	23.22786	61.51105	HII		
SH2-159	23.26199	61.14540	HII		
SH2-160	23.09658	64.67346	HII		
SH2-161	23.25819	61.86196	HII		
SH2-162	23.34504	61.19768	HII		
SH2-163	23.55545	60.78567	HII		
SH2-164	23.64044	59.97042	HII		
SH2-165	23.66363	61.93743	HII		
SH2-166	23.70290	60.97129	HII		
SH2-167	23.58958	64.85295	HII		
SH2-168	23.88440	60.47298	HII		
SH2-169	23.89966	60.37307	HII		
SH2-170	0.02844	64.62344	HII		
SH2-171	0.07785	67.15675	HII		
SH2-172	0.25915	61.25590	HII		
SH2-173	0.36442	61.73817	HII		
SH2-174	23.78035	80.93887	HII		
SH2-175	0.45534	64.70360	HII		
SH2-176	0.52758	57.28570	HII		
SH2-177	0.52586	62.46908	HII		
SH2-178	22.31562	87.76160	HII		
SH2-179	0.67372	62.86600	HII		
SH2-180	0.81297	62.92904	HII		
SH2-181	0.82130	65.21215	HII		
SH2-182	0.83796	64.74499	HII		
SH2-183	0.89995	65.70977	HII		
SH2-184	0.88077	56.61029	HII		
SH2-185	1.00000	60.98968	HII		
SH2-186	1.14753	63.13407	HII		
SH2-187	1.38549	61.85665	HII		
SH2-188	1.51093	58.36676	HII		
SH2-189	2.20238	64.17170	HII		
SH2-190	2.55643	61.44232	HII		
SH2-191	2.61093	59.63736	HII		
SH2-192	2.78727	61.98796	HII		
SH2-193	2.79237	62.00414	HII		
SH2-194	2.78887	61.93780	HII		
