LDN-1	16.48096	-16.10940	DkN		
LDN-2	18.12075	-31.49320	DkN		
LDN-3	18.05387	-30.99800	DkN		
LDN-4	17.04170	-22.20420	DkN		
LDN-5	17.27097	-24.42130	DkN		
LDN-6	17.15047	-23.22990	DkN		
LDN-7	17.47679	-26.28990	DkN		
LDN-8	16.77384	-19.25620	DkN		
LDN-9	17.16714	-23.22870	DkN		
LDN-10	17.96348	-30.10460	DkN		
LDN-11	17.13533	-22.89760	DkN		
LDN-12	17.97015	-30.12080	DkN		
LDN-13	17.06670	-22.16910	DkN		
LDN-14	17.41813	-25.54410	DkN		
LDN-15	17.07337	-22.16870	DkN		
LDN-16	17.26749	-24.05490	DkN		
LDN-17	17.13361	-22.73110	DkN		
LDN-18	17.15034	-22.89650	DkN		
LDN-19	17.48502	-26.03930	DkN		
LDN-20	17.14194	-22.73050	DkN		
LDN-21	17.48498	-25.93930	DkN		
LDN-22	16.78207	-18.92230	DkN		
LDN-23	17.28747	-23.97010	DkN		
LDN-24	17.29249	-24.01980	DkN		
LDN-25	17.54177	-26.18520	DkN		
LDN-26	18.08698	-30.49560	DkN		
LDN-27	16.46397	-15.11060	DkN		
LDN-28	17.31751	-24.05130	DkN		
LDN-29	18.11371	-30.62700	DkN		
LDN-30	17.21710	-23.05850	DkN		
LDN-31	16.83215	-19.08550	DkN		
LDN-32	17.18359	-22.64420	DkN		
LDN-33	16.68984	-17.42860	DkN		
LDN-34	17.80257	-28.01630	DkN		
LDN-35	17.94137	-29.07290	DkN		
LDN-36	17.47802	-25.20650	DkN		
LDN-37	17.33413	-23.88340	DkN		
LDN-38	17.18853	-22.47720	DkN		
LDN-39	17.19355	-22.49350	DkN		
LDN-40	17.95303	-29.07200	DkN		
LDN-41	18.08677	-29.99560	DkN		
LDN-42	17.55157	-25.70110	DkN		
LDN-43	16.57426	-15.83650	DkN		
LDN-44	17.33406	-23.71680	DkN		
LDN-45	17.51810	-25.37020	DkN		
LDN-46	17.21691	-22.55850	DkN		
LDN-47	16.83197	-18.58550	DkN		
LDN-48	17.96967	-29.00410	DkN		
LDN-49	18.03655	-29.49930	DkN		
LDN-50	17.41768	-24.37750	DkN		
LDN-51	17.21016	-22.34230	DkN		
LDN-52	17.53643	-25.35220	DkN		
LDN-53	17.38583	-23.91310	DkN		
LDN-54	17.39251	-23.96260	DkN		
LDN-55	17.38415	-23.87990	DkN		
LDN-56	17.25026	-22.55610	DkN		
LDN-57	17.37742	-23.73030	DkN		
LDN-58	17.50792	-24.92100	DkN		
LDN-59	17.34394	-23.38270	DkN		
LDN-60	17.20002	-21.97630	DkN		
LDN-61	17.52293	-24.91990	DkN		
LDN-62	16.83181	-18.08550	DkN		
LDN-63	16.83181	-18.08550	DkN		
LDN-64	17.66840	-26.02600	DkN		
LDN-65	17.21667	-21.89180	DkN		
LDN-66	17.40069	-23.54530	DkN		
LDN-67	17.23334	-21.89060	DkN		
LDN-68	18.11816	-29.36000	DkN		
LDN-69	17.46757	-24.04050	DkN		
LDN-70	17.41736	-23.54410	DkN		
LDN-71	17.23328	-21.72400	DkN		
LDN-72	17.33362	-22.55010	DkN		
LDN-73	17.51765	-24.20360	DkN		
LDN-74	17.63473	-25.19510	DkN		
LDN-75	18.13641	-29.15870	DkN		
LDN-76	17.61799	-25.02970	DkN		
LDN-77	17.31684	-22.25130	DkN		
LDN-78	18.01933	-28.18380	DkN		
LDN-79	17.24986	-21.47280	DkN		
LDN-80	17.65137	-25.11060	DkN		
LDN-81	17.41716	-23.01080	DkN		
LDN-82	17.76842	-26.01880	DkN		
LDN-83	16.57209	-14.26990	DkN		
LDN-84	17.60113	-24.53090	DkN		
LDN-85	17.43383	-23.00960	DkN		
LDN-86	17.35017	-22.21560	DkN		
LDN-87	17.31000	-21.80180	DkN		
LDN-88	17.34177	-22.04950	DkN		
LDN-89	17.30830	-21.70190	DkN		
LDN-90	17.65961	-24.86000	DkN		
LDN-91	17.39195	-22.46260	DkN		
LDN-92	17.31664	-21.71800	DkN		
LDN-93	18.04585	-27.83190	DkN		
LDN-94	17.33333	-21.76680	DkN		
LDN-95	17.33330	-21.68350	DkN		
LDN-96	18.13605	-28.32530	DkN		
LDN-97	18.12266	-28.17630	DkN		
LDN-98	16.59699	-13.95160	DkN		
LDN-99	17.31652	-21.38470	DkN		
LDN-100	17.26632	-20.88830	DkN		
LDN-101	17.36335	-21.79800	DkN		
LDN-102	17.37505	-21.88050	DkN		
LDN-103	17.35832	-21.71500	DkN		
LDN-104	17.26629	-20.80490	DkN		
LDN-105	16.60700	-13.95090	DkN		
LDN-106	16.61200	-13.95060	DkN		
LDN-107	17.43356	-22.29290	DkN		
LDN-108	18.16938	-28.32290	DkN		
LDN-109	17.65098	-24.11060	DkN		
LDN-110	16.83113	-16.08550	DkN		
LDN-111	17.25279	-20.35590	DkN		
LDN-112	17.41673	-21.87750	DkN		
LDN-113	17.64255	-23.86120	DkN		
LDN-114	17.66762	-24.02600	DkN		
LDN-115	16.89802	-16.66420	DkN		
LDN-116	18.10904	-27.49400	DkN		
LDN-117	17.41667	-21.71080	DkN		
LDN-118	16.91472	-16.74640	DkN		
LDN-119	18.05217	-26.99810	DkN		
LDN-120	18.10734	-27.41080	DkN		
LDN-121	16.66371	-14.01370	DkN		
LDN-122	16.91972	-16.74600	DkN		
LDN-123	18.12734	-27.40930	DkN		
LDN-124	18.21924	-27.98590	DkN		
LDN-125	17.60055	-23.03090	DkN		
LDN-126	17.71763	-24.02240	DkN		
LDN-127	18.13563	-27.30870	DkN		
LDN-128	17.51689	-22.20360	DkN		
LDN-129	16.91625	-16.32960	DkN		
LDN-130	17.75103	-24.18670	DkN		
LDN-131	17.41649	-21.21080	DkN		
LDN-132	16.91455	-16.24640	DkN		
LDN-133	17.98511	-26.00300	DkN		
LDN-134	15.89397	-4.64720	DkN		
LDN-135	18.03524	-26.33270	DkN		
LDN-136	17.48336	-21.70600	DkN		
LDN-137	16.84758	-15.41770	DkN		
LDN-138	17.39969	-20.87870	DkN		
LDN-139	17.27923	-19.72070	DkN		
LDN-140	17.88470	-25.01030	DkN		
LDN-141	16.84753	-15.25110	DkN		
LDN-142	17.71743	-23.52240	DkN		
LDN-143	18.16883	-26.98960	DkN		
LDN-144	17.67557	-23.02550	DkN		
LDN-145	16.58812	-12.26880	DkN		
LDN-146	16.93948	-15.99470	DkN		
LDN-147	18.06850	-26.16360	DkN		
LDN-148	16.77381	-14.17280	DkN		
LDN-149	17.44971	-20.87510	DkN		
LDN-150	17.95137	-25.00540	DkN		
LDN-151	18.10183	-26.16110	DkN		
LDN-152	16.83063	-14.58560	DkN		
LDN-153	17.66707	-22.60940	DkN		
LDN-154	17.70051	-22.85700	DkN		
LDN-155	17.63361	-22.27850	DkN		
LDN-156	16.62147	-12.26660	DkN		
LDN-157	18.15193	-26.40750	DkN		
LDN-158	16.79712	-14.08790	DkN		
LDN-159	17.80917	-23.68240	DkN		
LDN-160	17.75064	-23.18670	DkN		
LDN-161	17.85097	-24.01270	DkN		
LDN-162	16.81885	-14.25300	DkN		
LDN-163	16.83055	-14.33560	DkN		
LDN-164	17.61679	-21.86300	DkN		
LDN-165	18.26882	-26.98230	DkN		
LDN-166	18.03477	-25.16600	DkN		
LDN-167	18.10163	-25.66110	DkN		
LDN-168	17.54979	-21.03450	DkN		
LDN-169	15.87694	-3.31490	DkN		
LDN-170	17.78392	-23.01760	DkN		
LDN-171	18.05144	-25.16480	DkN		
LDN-172	17.63336	-21.61180	DkN		
LDN-173	17.28709	-18.38670	DkN		
LDN-174	17.65006	-21.69400	DkN		
LDN-175	17.30548	-18.51880	DkN		
LDN-176	18.16836	-25.82290	DkN		
LDN-177	17.38242	-19.21330	DkN		
LDN-178	17.53294	-20.53580	DkN		
LDN-179	17.39912	-19.29540	DkN		
LDN-180	18.05127	-24.74810	DkN		
LDN-181	18.51921	-28.08080	DkN		
LDN-182	17.54961	-20.53450	DkN		
LDN-183	15.89856	-3.14690	DkN		
LDN-185	17.53285	-20.28580	DkN		
LDN-186	17.73353	-22.02120	DkN		
LDN-187	18.20166	-25.73720	DkN		
LDN-188	17.88399	-23.17700	DkN		
LDN-189	17.71674	-21.68910	DkN		
LDN-190	16.80508	-12.92060	DkN		
LDN-191	16.79669	-12.75450	DkN		
LDN-192	17.51599	-19.78700	DkN		
LDN-193	17.59962	-20.53090	DkN		
LDN-194	18.21823	-25.48600	DkN		
LDN-195	18.26498	-25.73260	DkN		
LDN-196	18.16803	-24.98960	DkN		
LDN-197	18.21817	-25.33600	DkN		
LDN-198	18.22651	-25.36870	DkN		
LDN-199	18.25154	-25.45020	DkN		
LDN-200	18.16797	-24.82300	DkN		
LDN-201	18.33507	-25.97750	DkN		
LDN-202	17.64123	-20.36120	DkN		
LDN-203	18.23976	-25.16770	DkN		
LDN-204	16.79647	-12.08790	DkN		
LDN-205	18.43521	-26.38690	DkN		
LDN-206	17.51573	-19.03700	DkN		
LDN-207	17.74983	-21.02000	DkN		
LDN-208	18.21789	-24.65270	DkN		
LDN-209	17.63271	-19.86190	DkN		
LDN-210	18.15269	-24.12410	DkN		
LDN-211	18.15937	-24.15690	DkN		
LDN-212	18.18443	-24.32180	DkN		
LDN-213	18.15098	-24.00750	DkN		
LDN-214	18.15097	-23.97420	DkN		
LDN-215	17.96707	-22.50420	DkN		
LDN-216	17.63264	-19.66190	DkN		
LDN-217	18.46843	-26.13450	DkN		
LDN-218	17.91687	-21.97460	DkN		
LDN-219	17.65769	-19.77670	DkN		
LDN-220	17.51552	-18.47030	DkN		
LDN-221	18.18431	-23.98840	DkN		
LDN-222	17.68603	-19.77470	DkN		
LDN-223	17.67933	-19.70850	DkN		
LDN-224	18.14245	-23.49150	DkN		
LDN-225	17.54889	-18.53460	DkN		
LDN-226	17.67598	-19.65870	DkN		
LDN-227	18.16751	-23.65630	DkN		
LDN-228	17.67931	-19.62510	DkN		
LDN-229	17.66926	-19.50920	DkN		
LDN-230	18.15077	-23.45750	DkN		
LDN-231	17.67260	-19.52560	DkN		
LDN-232	18.08387	-22.82910	DkN		
LDN-233	17.75113	-20.01990	DkN		
LDN-234	16.81283	-11.08670	DkN		
LDN-235	17.77452	-20.18490	DkN		
LDN-236	18.43478	-25.30360	DkN		
LDN-237	18.01695	-22.16730	DkN		
LDN-238	16.59537	-8.76830	DkN		
LDN-239	18.55669	-26.01140	DkN		
LDN-240	18.61849	-26.37360	DkN		
LDN-241	18.19238	-23.32120	DkN		
LDN-242	18.20241	-23.40380	DkN		
LDN-243	18.20071	-23.32060	DkN		
LDN-244	16.86289	-11.24990	DkN		
LDN-245	18.51816	-25.46420	DkN		
LDN-246	17.74928	-19.52010	DkN		
LDN-247	18.40116	-24.55600	DkN		
LDN-248	18.60159	-25.79150	DkN		
LDN-249	18.16707	-22.48970	DkN		
LDN-250	18.38934	-24.14020	DkN		
LDN-251	18.48457	-24.80000	DkN		
LDN-252	18.38597	-24.05710	DkN		
LDN-253	18.66830	-25.95340	DkN		
LDN-254	17.83268	-19.68070	DkN		
LDN-255	16.79578	-9.92120	DkN		
LDN-256	18.25058	-22.98360	DkN		
LDN-257	18.18370	-22.40510	DkN		
LDN-258	17.74903	-18.85340	DkN		
LDN-259	18.41761	-23.98810	DkN		
LDN-260	16.79568	-9.58790	DkN		
LDN-261	17.59842	-17.19760	DkN		
LDN-262	18.04984	-20.99820	DkN		
LDN-263	18.60127	-24.95820	DkN		
LDN-264	17.81571	-18.84850	DkN		
LDN-265	18.28372	-22.48120	DkN		
LDN-266	18.51764	-24.13090	DkN		
LDN-267	18.39229	-23.14000	DkN		
LDN-268	18.39229	-23.14000	DkN		
LDN-269	18.49251	-23.79940	DkN		
LDN-270	17.81553	-18.34860	DkN		
LDN-271	18.18329	-21.32180	DkN		
LDN-272	18.30025	-22.14660	DkN		
LDN-273	17.74025	-17.60400	DkN		
LDN-274	18.15483	-20.95720	DkN		
LDN-275	18.19991	-21.18720	DkN		
LDN-276	17.73183	-17.35460	DkN		
LDN-277	17.75688	-17.48610	DkN		
LDN-278	16.97927	-10.24180	DkN		
LDN-279	17.88226	-18.51040	DkN		
LDN-280	16.97921	-10.07510	DkN		
LDN-281	18.08281	-19.99580	DkN		
LDN-282	18.21650	-20.98600	DkN		
LDN-283	17.64802	-16.02740	DkN		
LDN-284	18.60069	-23.45820	DkN		
LDN-285	17.93220	-18.34010	DkN		
LDN-286	18.03250	-19.16610	DkN		
LDN-287	17.38039	-13.38000	DkN		
LDN-288	17.96559	-18.50430	DkN		
LDN-289	18.01571	-18.83400	DkN		
LDN-290	17.71469	-16.02250	DkN		
LDN-291	18.33315	-20.97760	DkN		
LDN-292	17.96208	-18.00450	DkN		
LDN-293	17.96541	-18.00430	DkN		
LDN-294	18.53360	-22.29640	DkN		
LDN-295	18.54695	-22.34540	DkN		
LDN-296	18.54193	-22.29580	DkN		
LDN-297	18.78414	-23.94510	DkN		
LDN-298	17.98208	-18.00310	DkN		
LDN-299	17.01229	-9.23950	DkN		
LDN-300	18.85091	-24.27360	DkN		
LDN-301	18.59033	-22.49230	DkN		
LDN-302	17.95863	-17.67150	DkN		
LDN-303	18.13244	-18.99210	DkN		
LDN-304	18.58353	-22.12610	DkN		
LDN-305	17.83145	-16.26400	DkN		
LDN-306	18.38635	-20.64040	DkN		
LDN-307	18.10391	-18.44420	DkN		
LDN-308	18.11223	-18.42690	DkN		
LDN-309	18.51663	-21.46430	DkN		
LDN-310	18.11555	-18.36000	DkN		
LDN-311	18.82560	-23.44210	DkN		
LDN-312	17.84803	-16.01280	DkN		
LDN-313	18.55831	-21.54460	DkN		
LDN-314	18.34945	-19.97640	DkN		
LDN-315	18.29927	-19.48000	DkN		
LDN-316	18.74532	-22.61450	DkN		
LDN-317	17.01191	-8.07280	DkN		
LDN-318	17.99833	-16.83520	DkN		
LDN-319	18.03167	-16.83280	DkN		
LDN-320	17.99821	-16.50190	DkN		
LDN-321	18.83863	-22.64110	DkN		
LDN-322	18.33242	-18.97760	DkN		
LDN-323	18.25881	-18.18290	DkN		
